country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ukraine,7280,7870,8520,8770,7510,7820,8280,8320,8340,8240,7470
United Arab Emirates,91600,87100,77200,69400,58800,55400,56600,57900,60400,62900,65800
United Kingdom,37200,37800,38500,38100,36200,36500,36800,37100,37600,38400,39000
United States,49500,50400,50900,50400,48600,49500,49900,50600,51200,52100,53200
Uruguay,13000,13500,14400,15400,16000,17200,18000,18600,19400,19900,19900
Uzbekistan,3080,3270,3530,3790,4020,4240,4470,4770,5070,5340,5640
Vanuatu,2610,2760,2840,2950,2980,2950,2910,2880,2850,2840,2740
Venezuela,15100,16400,17600,18200,17400,16900,17300,18000,18000,17100,15600
Vietnam,3430,3630,3850,4030,4210,4430,4660,4860,5070,5310,5610
Yemen,4250,4270,4290,4320,4360,4570,3880,3860,3940,3830,3110
Zambia,2520,2650,2800,2930,3120,3340,3420,3570,3630,3690,3680
Zimbabwe,1980,1890,1810,1480,1630,1930,2170,2490,2490,2510,2510
