country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Turkmenistan,,,,,0.657,,0.579,0.546,0.539,0.579,0.579
Uganda,,0.373,0.446,0.457,0.461,0.419,0.483,0.431,0.371,0.377,0.424
Ukraine,,0.48,0.525,0.517,0.517,0.506,0.508,0.503,0.471,0.43,0.396
United Arab Emirates,,0.673,,,0.687,0.71,0.712,0.722,0.662,0.654,0.657
United Kingdom,0.698,,0.68,0.699,0.691,0.703,0.687,0.688,0.692,0.676,0.652
United States,,0.718,0.751,0.728,0.716,0.716,0.712,0.703,0.725,0.715,0.686
Uruguay,,0.579,0.569,0.566,0.63,0.606,0.655,0.645,0.644,0.656,0.663
Uzbekistan,,0.523,,0.531,0.526,0.51,0.574,0.602,0.594,0.605,0.597
Venezuela,0.717,0.653,,0.626,0.719,0.748,0.658,0.707,0.655,0.614,0.557
Vietnam,,0.529,0.542,0.548,0.53,0.53,0.577,0.553,0.502,0.508,0.508
Yemen,,,0.448,,0.481,0.435,0.375,0.406,0.422,0.397,0.298
Zambia,,0.482,0.4,0.473,0.526,,0.5,0.501,0.524,0.435,0.484
Zimbabwe,,0.383,0.328,0.317,0.406,0.468,0.485,0.496,0.469,0.418,0.37
